credit_score,age,tenure_years,balance_usd,num_products,has_cr_card,is_active_member,estimated_salary_usd,monthly_spend_usd,transactions_last_month,mobile_app_usage_min_per_day,campaigns_responded,geography,gender,churn
503,35,1,5268.14,4,0,0,45494.64,336.19,8,16,2,Germany,Male,0
717,42,1,24012.31,3,0,0,17884.37,139.21,17,62,5,France,Male,1
696,40,2,2026.63,2,1,0,35238.16,146.31,14,40,1,Germany,Male,1
651,18,16,6478.09,1,1,1,85843.28,537.34,26,22,1,France,Female,1
659,25,0,61463.55,2,1,1,70750.07,148.24,6,28,5,France,Female,0
636,18,5,7277.02,6,0,1,18821.41,552.84,1,8,0,Germany,Female,0
583,19,4,11629.85,5,0,0,34626.96,318.33,2,16,1,Spain,Female,1
533,39,9,35250.57,3,0,0,44624.52,213.44,9,114,2,Spain,Male,1
537,26,0,5780.06,5,0,0,99032.02,536.01,24,73,2,France,Female,0
638,26,2,17926.42,2,1,1,30298.25,85.47,12,20,13,Germany,Female,0
652,18,8,10773.4,7,1,0,49427.79,273.93,3,44,4,France,Female,1
736,18,21,10259.02,4,1,0,86195.84,258.97,26,21,0,Germany,Female,1
572,35,4,30489.73,4,0,0,54147.88,988.49,1,64,8,Spain,Male,1
568,28,0,1122.25,3,0,1,29051.2,183.19,5,24,3,Spain,Female,1
581,18,7,24312.44,2,0,0,57653.06,569.31,12,53,4,Spain,Female,0
681,23,2,20276.15,2,0,0,24438.94,419.72,2,85,7,Spain,Female,0
638,18,7,41932.45,2,0,0,70290.83,29.09,15,5,7,Germany,Female,0
580,38,4,2328.37,6,0,1,35588.24,327.47,5,41,5,Spain,Male,0
647,21,3,15146.83,1,0,1,81589.14,403.92,10,52,3,Germany,Female,0
518,39,3,14102.56,7,0,0,27319.5,607.56,17,24,1,Spain,Male,0
617,29,3,45156.03,2,0,1,70741.05,591.61,12,44,9,France,Female,0
601,21,8,6824.03,4,0,1,32418.41,167.47,5,16,0,France,Female,0
700,21,2,1767.64,4,1,1,52634.35,341.98,9,17,2,Germany,Female,0
417,21,2,9200.03,6,0,0,54252.84,4.23,46,26,3,Spain,Female,0
538,19,10,19466.09,5,0,1,15630.93,802.1,2,23,7,France,Female,0
593,38,8,9445.94,4,0,0,41588.11,248.62,11,10,7,France,Male,0
704,30,8,9645.84,1,1,0,38190.37,40.65,23,30,9,France,Male,1
457,43,15,7266.2,2,0,1,31903.05,571.7,2,56,6,Germany,Male,1
526,25,1,9438.35,3,0,0,70814.92,182.28,16,21,2,Spain,Female,0
559,33,0,20841.66,2,0,0,18189.54,494.06,8,76,6,Germany,Male,0
766,25,10,16503.55,5,1,0,75294.93,368.9,0,81,7,France,Female,0
586,37,4,2573.52,2,0,0,23173.44,502.76,11,60,0,France,Male,1
536,18,14,3792.35,2,0,0,76749.21,436.72,13,93,1,France,Female,0
663,27,3,613.74,4,0,0,73231.3,271.2,9,116,2,France,Female,0
663,40,6,2278.59,1,0,1,44478.0,254.79,5,70,3,France,Male,1
393,34,20,23968.26,1,0,1,51336.35,192.3,11,5,0,France,Male,1
520,33,3,192.7,7,0,0,114709.75,323.13,24,63,1,Spain,Male,0
530,22,4,15468.77,2,0,1,28346.28,184.37,2,54,8,Spain,Female,0
736,25,1,14522.59,4,0,0,45450.74,587.48,20,85,1,Germany,Female,0
637,19,6,7576.01,5,0,1,24736.46,518.56,8,76,1,Germany,Female,0
628,18,10,11662.96,3,1,0,29542.79,653.55,13,14,11,Spain,Female,0
559,25,8,16816.83,2,0,1,20297.93,30.71,3,25,7,Germany,Female,0
545,23,13,25105.17,5,0,1,26346.51,458.59,3,41,1,France,Female,0
548,36,4,18891.07,2,1,0,29011.76,50.35,27,6,8,France,Male,0
710,18,9,16351.32,8,1,0,69426.15,154.37,2,3,5,France,Female,1
456,18,5,16747.3,3,1,1,99914.53,353.59,1,48,7,Germany,Female,1
542,42,1,6413.69,2,1,0,27233.74,656.72,38,13,12,France,Male,0
714,18,3,8199.63,7,1,1,25180.28,258.47,7,1,1,France,Female,0
512,23,9,29267.66,5,0,1,77191.36,131.4,1,127,1,Germany,Female,1
571,44,12,4143.22,3,0,1,26962.66,326.74,23,83,5,Spain,Male,1
578,38,9,19669.11,3,0,1,62418.14,577.62,18,60,4,Spain,Male,1
521,19,16,4735.92,9,0,1,30654.59,121.48,3,13,3,Spain,Female,0
696,28,2,19711.66,3,1,1,21986.63,236.55,17,14,4,Germany,Female,0
552,23,2,6741.06,2,0,1,43542.2,59.99,29,6,7,Germany,Female,1
497,18,5,5493.48,3,1,1,39719.28,179.91,12,74,7,France,Female,1
570,18,8,31193.33,3,0,0,38525.33,91.8,26,31,1,Spain,Female,0
532,18,10,8720.73,8,1,1,67680.55,62.58,15,66,7,Spain,Female,0
441,22,7,7481.22,4,0,1,60794.15,513.57,33,16,1,France,Female,0
536,27,4,1829.98,2,1,0,47026.04,57.38,1,19,3,France,Female,0
443,54,6,34973.62,3,0,0,65852.23,125.53,22,129,5,France,Male,0
694,26,4,9831.35,4,1,1,119402.17,286.64,22,32,5,Germany,Female,0
824,18,11,4515.83,2,1,0,21830.88,66.9,0,42,1,Spain,Female,0
563,24,5,4052.71,2,0,1,67487.92,217.96,11,5,2,Germany,Female,1
616,18,7,13851.43,5,0,1,35817.28,725.67,4,25,0,France,Female,0
558,24,2,39661.38,1,0,1,34154.7,1087.92,21,53,6,Germany,Female,1
571,18,13,6782.53,2,1,0,35887.1,184.13,24,12,2,Spain,Female,0
496,19,2,19651.82,4,0,0,24718.35,222.35,33,74,1,France,Female,0
530,18,14,2780.47,8,0,1,22816.09,567.13,1,30,0,Spain,Female,0
408,22,23,92.47,6,0,1,84484.78,570.78,4,78,4,Germany,Female,0
606,24,8,39604.26,3,0,0,20054.83,105.38,3,33,6,France,Female,0
632,29,7,10214.24,2,1,0,27801.1,118.42,10,14,8,Spain,Female,0
658,18,3,7980.09,2,1,1,108360.74,132.24,9,17,10,France,Female,0
653,30,0,469.73,3,0,0,65168.32,855.98,16,104,15,France,Female,1
469,18,16,8599.01,6,0,1,52842.68,667.48,3,8,7,Spain,Female,0
553,18,2,45548.92,1,0,1,79529.82,702.13,37,50,0,Germany,Female,1
547,25,3,14749.58,4,0,0,25034.05,182.3,6,75,3,France,Female,1
469,26,3,10573.82,6,1,0,15202.22,128.09,25,12,8,Spain,Female,0
671,39,6,615.78,2,0,1,54215.75,810.05,11,136,10,Spain,Male,1
643,20,5,28945.14,6,0,1,22131.49,872.36,3,90,2,Germany,Female,0
608,28,12,5833.87,3,1,0,69132.92,327.76,30,56,11,France,Female,0
527,36,4,25440.13,4,0,0,16030.44,14.33,1,106,6,Spain,Male,0
611,33,1,17050.3,2,0,0,74027.54,237.94,4,94,7,France,Male,1
579,23,10,12424.56,3,0,1,51536.67,159.55,10,18,1,Spain,Female,0
617,49,9,12357.9,3,0,0,30472.42,385.25,44,104,10,France,Male,1
565,26,7,12937.03,3,1,1,19049.26,157.05,11,43,6,Germany,Female,0
593,28,6,7008.14,4,1,1,96009.42,254.86,10,37,3,France,Female,0
532,34,3,2845.11,4,0,0,28381.24,87.72,14,36,2,Spain,Male,0
703,18,7,33229.75,7,1,0,67733.07,345.43,9,73,8,France,Female,1
766,20,8,5926.33,4,1,0,34525.4,72.31,9,92,0,France,Female,0
602,53,21,6096.11,9,0,1,66324.43,254.85,40,50,3,France,Male,1
476,36,7,13538.69,3,0,1,22018.42,107.82,16,53,6,Spain,Male,1
450,18,3,5833.83,3,0,1,43023.01,23.54,36,105,2,Germany,Female,0
589,26,9,5814.06,2,0,1,18459.63,974.52,6,102,1,France,Female,0
380,38,16,14822.6,3,0,1,21380.51,205.18,14,16,3,Spain,Male,1
556,37,1,18166.64,3,0,0,22869.57,73.74,9,66,6,Germany,Male,0
598,21,0,43183.64,4,0,1,16435.74,887.54,18,42,6,France,Female,0
728,22,1,8542.97,3,0,1,86540.37,176.61,3,75,2,Spain,Female,0
602,27,1,1216.54,1,0,0,20982.23,493.14,6,34,2,France,Female,1
521,30,1,6528.58,2,1,1,31051.14,191.22,5,102,2,Spain,Female,0
667,18,4,18766.76,7,0,1,33818.22,48.46,9,36,3,Spain,Female,0
522,25,5,15465.97,2,0,0,40277.55,345.82,9,86,2,Spain,Female,0
584,22,10,5422.64,4,0,1,26780.46,468.11,5,36,0,France,Female,0
506,24,11,18984.92,4,0,1,40976.59,15.82,23,82,7,Germany,Female,1
632,27,2,56887.19,3,0,1,85998.05,367.05,1,2,9,Spain,Female,0
682,32,3,13556.42,2,1,0,70664.54,101.12,13,50,8,Spain,Male,0
600,28,5,19356.51,2,0,1,56377.04,221.36,2,29,8,France,Female,0
612,18,8,16032.48,1,1,0,47006.42,15.35,4,100,6,France,Female,0
776,37,9,670.47,6,0,0,153074.34,39.35,3,115,6,Spain,Male,0
588,18,4,26134.34,8,1,1,53756.03,360.87,10,60,6,France,Female,0
419,18,23,21308.33,11,0,1,62358.91,300.14,7,3,0,Spain,Female,0
518,18,4,78.21,2,0,0,35323.68,50.46,13,19,4,Spain,Female,0
571,27,10,1893.93,2,0,1,16940.17,63.28,0,118,4,Spain,Female,0
710,23,8,2354.17,2,1,0,32628.84,692.89,19,4,9,France,Female,0
687,22,2,30159.06,2,0,1,23492.41,32.77,7,88,0,Germany,Female,0
763,19,4,24425.79,4,0,0,96093.73,733.78,9,72,6,France,Female,0
608,18,14,4531.02,4,1,0,32880.01,309.93,9,99,7,France,Female,0
676,27,5,6789.18,2,0,0,67643.98,249.17,10,7,4,Spain,Female,1
585,18,5,5658.24,2,0,0,37823.7,527.43,4,41,9,France,Female,0
846,18,16,7865.17,4,1,0,124262.37,351.69,3,22,2,Germany,Female,0
562,32,2,23614.38,3,0,0,55485.5,218.21,28,94,11,Germany,Male,1
449,28,1,20693.19,7,0,0,52563.19,389.53,43,142,5,France,Female,0
681,20,10,1986.73,3,0,0,70963.31,0.69,7,90,4,Spain,Female,1
717,38,5,16862.32,2,1,0,19813.49,51.98,5,53,8,Spain,Male,1
517,18,6,20273.31,4,0,0,26108.4,267.18,54,1,3,Spain,Female,0
512,23,2,10130.6,2,0,0,20275.97,486.73,28,9,6,Germany,Female,1
604,18,11,1905.96,5,0,0,89023.68,253.61,34,37,0,France,Female,0
737,43,2,1428.63,5,0,0,24491.0,217.83,31,62,3,Germany,Male,1
712,30,5,6220.98,4,0,0,59480.32,238.54,4,91,8,France,Female,0
713,18,3,25981.88,5,1,1,30227.87,458.18,1,35,1,France,Female,0
512,31,2,16492.0,3,0,0,36396.08,250.08,10,5,1,Germany,Male,0
688,30,1,34734.94,2,0,0,29547.77,373.07,3,43,2,Germany,Female,0
525,29,3,5147.99,3,0,0,20296.6,190.59,6,86,3,Spain,Female,0
665,44,10,2809.51,4,0,1,32249.68,99.53,27,47,2,France,Male,1
608,18,4,35281.19,3,1,1,32108.93,51.21,20,38,4,France,Female,1
491,26,2,2747.77,4,0,0,21630.97,149.35,13,45,6,France,Female,0
586,19,0,18279.51,7,1,1,84271.81,72.28,19,37,5,France,Female,1
630,40,5,13706.65,2,0,0,49454.9,89.72,2,18,11,Spain,Male,1
683,44,8,7581.39,5,0,0,25810.95,184.27,31,17,0,Spain,Male,1
587,18,3,10917.3,3,1,1,55143.94,560.11,8,15,10,France,Female,0
540,18,11,27312.08,3,0,0,17059.03,72.71,21,97,4,France,Female,0
659,19,2,11175.06,3,0,1,50136.7,691.57,1,10,4,France,Female,0
644,38,2,16292.72,4,0,0,30330.29,331.48,20,8,12,Germany,Male,0
741,23,6,19130.86,2,1,1,78553.46,119.1,2,38,6,Germany,Female,0
670,34,7,14981.75,2,1,0,34003.24,46.02,5,49,12,Spain,Male,1
533,25,4,4642.51,4,0,0,69726.95,385.66,22,22,0,Spain,Female,0
602,18,6,24316.13,5,0,1,83991.19,168.02,4,30,4,France,Female,0
745,31,8,21550.83,1,1,0,30202.19,214.96,14,47,4,Germany,Male,1
574,21,9,17278.53,3,0,1,29652.03,180.4,10,59,2,Spain,Female,0
753,21,6,19015.81,3,1,0,41239.5,411.85,5,12,3,France,Female,0
562,26,3,38042.82,1,0,0,43318.88,1020.23,7,129,1,Germany,Female,1
712,18,0,17268.78,5,0,1,26380.35,863.72,7,49,4,France,Female,0
688,20,1,18877.63,3,0,1,38865.24,123.81,3,68,3,Germany,Female,0
720,31,7,28732.58,2,1,0,40492.85,364.62,6,22,0,Spain,Male,1
807,29,9,10494.9,3,1,0,61261.78,404.36,4,37,3,France,Female,0
657,18,17,24168.16,2,0,0,24212.79,270.52,16,122,6,France,Female,0
552,34,5,25702.14,3,0,0,19485.24,186.08,21,169,6,Germany,Male,1
524,27,1,35526.61,4,0,1,47792.32,526.3,18,76,2,Spain,Female,0
637,18,0,19064.03,5,1,1,68445.85,56.81,14,50,7,Germany,Female,0
627,18,6,2190.67,7,0,1,28264.67,293.55,3,46,2,Spain,Female,0
723,26,5,13994.64,1,0,0,18928.56,623.12,4,26,4,Spain,Female,0
522,35,16,33717.49,4,0,1,60614.6,6.53,6,55,1,Spain,Male,1
658,18,15,12168.4,5,1,0,17313.59,420.69,5,7,6,France,Female,1
409,24,4,10699.23,4,0,1,83960.44,217.94,35,21,4,Germany,Female,0
527,27,8,5166.04,3,0,1,73083.64,370.37,9,36,3,Spain,Female,1
510,19,3,7192.82,2,0,0,71559.35,1095.46,17,10,0,Germany,Female,0
599,24,9,9876.96,5,0,1,38754.51,163.73,4,24,2,France,Female,0
676,50,8,13292.72,5,0,0,39430.52,45.85,37,54,2,Spain,Male,1
714,33,4,11834.74,4,1,0,74399.49,747.51,7,32,6,France,Male,0
553,29,9,5926.72,2,0,0,44300.03,711.16,2,107,2,Germany,Female,0
720,18,13,30808.2,1,1,0,28728.69,192.66,5,60,11,Spain,Female,0
568,22,8,6143.51,3,1,0,34477.52,372.77,15,66,8,Spain,Female,0
570,19,6,22431.86,1,0,0,109682.42,50.9,3,170,6,Spain,Female,0
488,29,13,10028.21,5,0,1,77653.77,175.13,6,7,0,France,Female,1
675,18,2,34552.71,5,0,1,45104.29,139.04,6,104,0,Spain,Female,0
565,35,5,7469.46,3,0,0,44123.75,583.64,2,114,6,Germany,Male,1
742,24,7,40255.0,2,1,0,26850.12,82.52,9,104,4,Germany,Female,0
724,22,3,22298.44,1,0,0,19127.78,339.19,2,31,4,Spain,Female,0
571,21,7,6894.02,1,0,0,17011.17,431.88,2,144,6,Spain,Female,0
617,18,11,35784.41,1,1,0,29587.15,1027.56,22,66,4,Spain,Female,1
738,39,1,15631.62,3,0,0,52097.53,99.05,1,28,1,Germany,Male,0
581,25,1,8622.89,5,0,1,28790.0,163.69,17,52,5,Spain,Female,0
596,18,8,18271.15,5,0,1,26542.28,9.95,6,41,1,France,Female,0
631,18,14,20049.38,2,1,0,25652.09,160.92,18,31,2,Spain,Female,1
558,25,0,1920.26,6,0,0,37466.07,331.87,4,20,2,Germany,Female,1
557,32,7,20649.12,2,0,1,63078.78,672.21,10,38,11,Germany,Male,0
794,35,6,16438.0,5,0,0,22723.17,187.64,5,30,0,Germany,Male,0
611,18,15,41119.37,3,1,0,32818.78,594.08,0,40,5,France,Female,0
552,18,8,29091.58,5,1,0,15652.86,232.64,40,19,5,Germany,Female,1
639,25,4,13137.51,3,0,0,94644.33,83.23,2,13,9,Germany,Female,0
615,20,5,31681.0,6,1,1,57433.97,80.61,9,69,2,France,Female,0
510,22,1,4858.47,3,0,0,65898.71,258.84,17,26,3,Germany,Female,0
702,26,2,2919.06,3,0,0,64584.64,38.52,4,16,5,France,Female,0
652,18,10,42220.72,4,0,0,58347.82,648.52,15,90,6,France,Female,0
537,18,6,18423.99,2,0,0,54573.1,170.93,14,49,5,France,Female,0
729,25,4,32391.67,2,1,0,15875.53,32.83,2,52,1,Spain,Female,0
497,35,8,38530.28,3,0,0,23921.57,100.36,6,92,1,France,Male,1
556,18,5,15465.88,5,0,1,30774.15,383.1,46,37,5,Germany,Female,0
508,24,1,11060.52,5,0,0,55048.71,97.02,26,51,1,Germany,Female,0
533,34,1,10218.0,2,0,0,101862.05,52.66,7,14,7,Spain,Male,0
523,18,13,8153.45,8,0,1,62511.96,778.9,3,9,3,Spain,Female,0
705,32,5,6244.44,4,0,0,23309.81,535.55,9,94,9,France,Male,0
594,18,10,8996.65,3,0,0,101486.48,296.56,26,39,0,France,Female,0
601,24,7,32036.54,6,0,1,60387.38,366.68,9,13,1,France,Female,0
621,18,6,21841.73,8,0,1,22289.82,45.16,2,89,1,Spain,Female,0
572,29,11,15590.93,3,0,1,46319.86,517.78,1,46,1,Spain,Female,0
533,18,7,6052.78,3,0,1,27427.45,65.02,16,69,0,Spain,Female,1
615,18,7,17437.71,2,0,0,34855.71,265.59,20,60,3,France,Female,1
658,23,6,18999.19,5,0,1,32661.79,220.92,2,26,2,France,Female,0
384,34,3,27247.08,6,0,0,90581.65,492.87,35,5,7,France,Male,0
673,44,6,29925.26,2,1,0,75577.69,123.4,42,72,12,Spain,Male,0
826,50,1,2396.29,4,1,0,38206.25,624.09,59,112,11,Spain,Male,1
814,23,11,33609.15,5,1,0,18980.65,393.68,7,55,4,France,Female,0
706,20,13,16214.26,3,1,0,18275.79,142.4,22,11,15,France,Female,1
543,18,3,16072.07,5,1,1,67284.97,378.31,11,55,1,France,Female,1
684,22,0,16819.74,2,0,1,40295.17,333.04,1,25,2,Germany,Female,0
565,18,7,12888.56,1,0,1,117139.84,289.87,22,96,3,Germany,Female,0
710,18,0,6805.74,5,0,1,65682.31,395.8,3,95,3,France,Female,0
656,18,2,12141.8,7,0,1,22099.55,664.12,9,26,3,France,Female,0
501,18,1,1939.76,2,1,1,20878.68,53.97,19,75,4,Germany,Female,1
502,21,4,2684.04,5,0,0,18019.1,594.08,37,15,3,Germany,Female,0
628,27,8,28303.99,1,0,1,41062.13,381.46,10,95,1,Spain,Female,0
622,18,12,3752.34,1,1,0,82760.49,433.93,1,57,5,Spain,Female,0
608,18,2,14960.04,2,0,1,42089.77,449.94,47,15,10,France,Female,1
739,26,10,10862.91,1,1,0,78600.24,896.63,20,37,10,Germany,Female,0
581,18,5,32874.86,2,1,1,44182.2,430.76,19,78,2,Spain,Female,1
491,18,0,19502.39,3,0,1,92930.47,43.72,51,0,2,France,Female,0
620,25,9,11590.51,3,0,0,102004.86,309.53,7,33,3,Spain,Female,0
760,18,16,5549.92,9,1,0,53434.11,73.05,11,9,3,France,Female,1
458,18,24,17711.52,6,0,1,24317.54,51.93,10,15,5,Germany,Female,1
578,39,2,763.56,7,0,0,69470.79,592.59,8,79,3,Spain,Male,0
468,29,12,17775.16,4,0,1,15179.25,759.67,5,63,3,Spain,Female,1
543,37,1,19319.36,5,0,0,82841.09,295.14,1,57,5,France,Male,0
708,23,4,25582.38,2,0,0,102109.73,325.57,7,21,5,France,Female,0
511,20,7,1798.44,4,0,0,25545.27,282.93,25,29,0,Germany,Female,0
661,48,11,7856.11,3,0,1,19625.22,625.87,20,99,3,France,Male,1
498,23,12,21077.53,4,0,1,23904.64,428.01,14,73,2,France,Female,1
642,18,4,14360.48,4,0,1,15739.48,440.6,5,108,1,Germany,Female,0
579,34,14,11120.27,4,0,1,25326.74,278.51,23,4,18,Spain,Male,1
605,22,1,3595.15,6,0,1,45439.58,485.99,28,39,3,France,Female,0
667,27,12,10655.23,4,0,0,27933.56,353.46,2,63,7,Spain,Female,0
566,37,4,11930.64,1,1,0,29967.77,88.54,29,59,10,Germany,Male,0
694,24,1,5794.48,2,0,1,33833.93,58.13,4,62,3,Germany,Female,0
586,22,11,14519.83,4,0,1,71242.58,285.54,8,52,0,France,Female,0
691,31,2,4523.74,6,0,0,65942.39,650.15,8,97,7,Germany,Male,0
533,18,4,6537.17,4,0,1,57211.27,30.84,44,42,2,Spain,Female,0
538,18,3,5706.53,4,0,1,68892.91,469.01,46,26,2,France,Female,0
528,35,1,19052.89,4,1,0,36659.14,582.47,30,2,9,Spain,Male,0
498,21,0,1542.82,1,0,1,15091.26,304.04,13,140,2,France,Female,0
679,20,0,7538.07,4,0,1,17823.24,265.52,3,56,1,Spain,Female,0
467,20,1,22217.1,5,0,0,25465.49,277.36,42,67,3,Spain,Female,0
525,18,6,2416.88,2,0,1,43985.38,167.15,30,53,1,Spain,Female,1
633,24,4,29618.01,4,0,1,38901.92,535.53,6,4,2,Spain,Female,0
609,18,3,8569.09,6,1,1,35226.22,580.24,6,87,5,France,Female,1
589,34,6,18708.87,5,0,0,69214.5,356.0,3,31,5,France,Male,0
529,24,9,7305.0,3,0,1,86816.78,176.96,8,18,10,Spain,Female,0
449,42,21,32748.16,4,0,1,15944.46,11.41,7,109,3,France,Male,1
625,50,12,5986.78,7,0,0,16609.39,338.79,33,109,7,Spain,Male,1
477,46,5,16743.28,6,0,0,38240.65,100.5,5,82,1,Spain,Male,0
599,36,2,33190.68,3,0,0,44441.67,60.38,8,13,6,France,Male,0
697,30,1,36678.2,4,0,0,105735.23,114.4,2,8,4,Germany,Male,0
636,18,4,39344.31,4,0,1,69142.83,457.36,31,124,3,Germany,Female,0
606,35,3,1787.28,1,0,0,15069.07,28.67,6,15,0,France,Male,1
439,40,3,47980.71,7,0,0,52307.75,675.59,24,6,3,France,Male,0
493,27,14,7642.42,8,0,1,81799.44,158.66,15,38,0,France,Female,1
649,22,2,25952.57,4,1,1,18330.43,121.34,14,50,7,Germany,Female,0
646,28,4,35547.57,1,0,0,21861.8,379.34,0,81,0,Germany,Female,1
558,26,14,16686.84,4,0,1,62308.74,202.79,5,49,1,Germany,Female,0
618,18,3,2335.78,3,0,1,33896.45,106.82,18,38,7,Spain,Female,0
684,43,1,42884.31,2,1,0,17157.18,109.94,16,55,5,Germany,Male,1
552,18,12,13781.15,7,0,1,16774.23,741.57,7,40,1,Germany,Female,0
576,18,4,14387.01,6,1,1,115354.44,333.85,1,7,2,Spain,Female,1
562,18,11,17239.35,8,1,1,29915.39,148.18,1,38,1,Germany,Female,0
713,22,3,1375.58,1,0,1,69053.28,818.41,3,21,2,France,Female,0
547,22,10,6478.0,5,0,1,41942.57,55.43,3,42,2,France,Female,0
693,31,2,1046.61,2,0,0,64967.45,400.47,16,18,4,Germany,Male,1
584,44,9,19842.45,6,0,0,67982.48,750.07,20,49,6,France,Male,1
643,39,6,2003.36,6,0,0,30410.32,442.43,12,53,9,Germany,Male,1
605,35,1,50851.6,2,0,0,35468.03,523.46,4,46,4,France,Male,1
726,33,5,37131.68,3,0,0,21867.44,563.91,9,21,5,Spain,Male,0
